id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3661135,WFH Retreat | Office + Private Gym + Rooftop Views,8059814,Nora,,Sunnyside,39.77339,-105.01183,Entire home/apt,170,2,0,,,1,6
3685552,"SkyView Loft, in Healing Center ~ 30 DAYS OR MORE",1313972,Heather,,City Park,39.74172,-104.95845,Entire home/apt,80,30,96,2021-03-14,1.22,2,224
3760606,The Hen House of Highlands Sunnyside,2943530,,,Highland,39.76826,-105.01828,Entire home/apt,100,2,367,2021-03-28,4.53,1,208
3791631,Bell's MidMod Convent - Den Central,5319813,Isabelle,,Athmar Park,39.70882,-105.00495,Entire home/apt,250,29,35,2020-06-18,0.44,3,210
3799043,City Park Garden Level - 30 day plus,10010242,Jon,,Skyland,39.75805,-104.9581,Entire home/apt,63,30,144,2017-10-08,1.83,1,151
3828739,Stunning Loft in Lodo with 1000sf private patio,16356824,Claus,,Union Station,39.75297,-104.99949,Entire home/apt,750,30,3,2016-05-31,0.04,2,333
3829793,Modern 1 Bed / 1 Bath Apartment in Uptown,2537989,Kristin,,North Capitol Hill,39.74367,-104.97908,Entire home/apt,110,60,6,2021-02-06,0.08,1,241
3913292,New Reno! Huge 3 story walkable uptown loc+ garage,11341423,Corey,,City Park West,39.74274,-104.96847,Entire home/apt,123,29,155,2021-02-28,1.94,1,249
3939645,5 Min to Downtown - Cozy Twin Room,192640,Kim,,Cole,39.76869,-104.96832,Private room,40,30,11,2015-08-30,0.14,3,88
3960763,Your  Denver Get Away!  3 bedroom 2 bath house.,20525963,Julie,,Platt Park,39.68769,-104.98715,Entire home/apt,170,29,28,2019-07-08,0.35,1,149
4000181,Modern Loft in Union Station North/Downtown,20739244,Mark + Shahana,,Five Points,39.76011,-104.99781,Entire home/apt,170,30,9,2014-11-11,0.11,2,341
4052272,The Spectrum Inn,18930052,Nikki & James,,Skyland,39.76146,-104.9503,Entire home/apt,90,3,156,2019-08-15,1.99,1,303
4077803,Unbeatable Location to Work Remote!,12145221,Michael,,Sunnyside,39.77016,-105.01992,Entire home/apt,253,30,42,2021-03-03,0.58,2,132
4080404,Relax on City Park + Barrel Steam Sauna + Hot Tub,11706428,Aaron,,Skyland,39.75546,-104.95573,Entire home/apt,159,2,90,2021-03-13,4.10,1,20
4121643,own bed and bath,21380104,Mik,,Windsor,39.70876,-104.89068,Private room,28,30,13,2018-05-31,0.17,1,0
4121807,Beautiful home in Wash/Platt Park,5326121,Colby,,Platt Park,39.69036,-104.98581,Private room,69,29,99,2020-08-09,1.25,1,365
4137490,40th Floor with Endless Mountain & City Views,860762,,,CBD,39.74458,-104.99588,Entire home/apt,190,30,6,2021-01-08,0.20,1,247
4145663,Corner Condo in Hip Highlands,13995192,Jenn,,West Highland,39.76298,-105.0344,Entire home/apt,161,29,34,2017-01-28,0.48,2,0
4219371,"Newly Renovated 1890 Denver Queen Anne, sleeps 10",11054215,Dawn & Jacob,,Baker,39.71861,-104.99062,Entire home/apt,529,3,58,2020-09-27,0.80,1,56
4227772,Artsy & Cozy private 1 bed/1 bath,7917076,Lynne,,Whittier,39.76003,-104.97196,Entire home/apt,135,1,458,2021-03-21,5.79,1,69
4236002,Modern Historic Carriage House in Central Denver,21982508,Jb,,North Park Hill,39.7524,-104.92175,Entire home/apt,140,2,373,2021-04-01,4.76,1,124
4241536,Cozy-Cool Highlands Cottage,22009424,Carlos,,West Highland,39.76387,-105.03138,Entire home/apt,100,30,24,2021-03-06,0.31,1,1
4263504,Charming City Park Bungalow near Coffee Shop,22130508,Melissa,,Whittier,39.75302,-104.96661,Entire home/apt,189,4,57,2020-01-01,0.74,1,0
4267851,Historic Park Hill  Home.,22155542,Ben,,South Park Hill,39.74967,-104.93296,Entire home/apt,250,3,8,2019-08-04,0.10,1,14
4288813,Historic & Fresh Home in RiNo,21152797,Hilary,,Five Points,39.75731,-104.98313,Entire home/apt,144,30,412,2020-12-21,5.24,1,4
4294257,Full of Character AND Comfortable !,22292048,Travis,,Congress Park,39.73975,-104.94838,Entire home/apt,112,1,362,2021-03-28,4.63,1,146
4295637,Living Room For Rent in 1 BR Apt,22299710,Al,,West Colfax,39.74034,-105.02864,Private room,60,29,0,,,1,0
4350594,Kid Friendly Home-Great Location with Sauna,245393,Melissa,,Hale,39.72904,-104.92346,Entire home/apt,175,29,10,2020-12-06,0.14,1,191
